institution,academic_year,programme,established,graduate,registered,enrolled,active
University of Peloponnese,2020-2021,Informatics Engineering,05/06/2013,48,936,0,369
University of Peloponnese,2020-2021,Mechanical Engineering,05/06/2013,104,1269,0,574
University of Peloponnese,2020-2021,Civil Engineering,05/06/2013,45,888,0,388
University of Peloponnese,2020-2021,Food Technology,09/02/2009,0,0,0,0
University of Peloponnese,2020-2021,Agricultural Technologists,05/06/2013,39,539,0,539
University of Peloponnese,2020-2021,Local Government,30/04/2014,33,1058,0,500
Panteion University of Social and Political Sciences,2020-2021,Public Administration,07/11/1963,223,3812,343,1677
Panteion University of Social and Political Sciences,2020-2021,International and European Studies,23/06/1997,215,2449,208,959
Panteion University of Social and Political Sciences,2020-2021,"Communication, Media and Culture",16/06/1989,183,1415,220,930
Panteion University of Social and Political Sciences,2020-2021,Social Anthropology,04/03/2004,212,1743,201,997
Panteion University of Social and Political Sciences,2020-2021,Social Policy,04/03/2004,153,1361,204,818
Panteion University of Social and Political Sciences,2020-2021,Sociology,30/11/1983,231,3323,291,1408
Panteion University of Social and Political Sciences,2020-2021,Economic and Regional Development,16/06/1989,214,2894,283,1158
Panteion University of Social and Political Sciences,2020-2021,Political Science and History,23/06/1997,169,2510,243,981
Panteion University of Social and Political Sciences,2020-2021,Psychology,16/06/1989,201,2027,239,1049
Technical University of Crete,2020-2021,Architectural Engineering,22/07/2004,76,1018,123,869
Technical University of Crete,2020-2021,Electrical and Computer Engineering,01/03/1983,89,1583,164,1142
Technical University of Crete,2020-2021,Mineral Resources Engineering,01/03/1983,43,1037,115,689
Technical University of Crete,2020-2021,Production and Management Engineering,01/03/1983,100,1647,177,1186
Technical University of Crete,2020-2021,Chemical Engineering and Environmental Engineering,22/06/1995,51,1005,133,807
Hellenic Army Academy,2020-2021,Military Sciences,21/12/1828,230,776,199,776
Hellenic Air Force Academy,2020-2021,Aviation Sciences,07/10/2003,59,302,81,302
Hellenic Naval Academy,2020-2021,Naval Sciences,07/10/2003,43,137,45,137
Harokopio University,2020-2021,Geography,06/09/1999,67,936,108,469
Harokopio University,2020-2021,Dietology - Nutrition Science,12/06/1992,47,739,98,540
Harokopio University,2020-2021,Economy and Sustainable Development (formerly Home Economics and Ecology),12/06/1992,57,627,103,431
Harokopio University,2020-2021,Informatics and Telematics,07/07/2006,79,912,152,700
Athens School of Fine Arts,2021-2022,Fine Arts,03/07/1990,69,1497,520,881
Athens School of Fine Arts,2021-2022,Art Theory and History,07/09/2009,126,623,151,452
Aristotle University of Thessaloniki,2021-2022,English Language and Literature,03/05/1983,198,1638,247,881
Aristotle University of Thessaloniki,2021-2022,Unknown,01/09/2021,0,60,61,60
Aristotle University of Thessaloniki,2021-2022,Agricultural and Surveying Engineering,24/10/1962,61,923,68,556
Aristotle University of Thessaloniki,2021-2022,Architectural Engineering,03/05/1983,128,1356,170,1003
Aristotle University of Thessaloniki,2021-2022,Biology,11/04/1973,122,1000,157,583
Aristotle University of Thessaloniki,2021-2022,French Language and Literature,26/08/1982,59,754,27,299
Aristotle University of Thessaloniki,2021-2022,German Language and Literature,14/09/1981,121,1228,80,582
Aristotle University of Thessaloniki,2021-2022,Geology,05/04/1973,87,1484,104,593
Aristotle University of Thessaloniki,2021-2022,Agriculture,30/06/1928,270,3100,259,1647
Aristotle University of Thessaloniki,2021-2022,Forestry and Natural Environment,14/09/1917,105,1362,48,783
Aristotle University of Thessaloniki,2021-2022,Journalism and Mass Media,27/07/1991,112,968,134,665
Aristotle University of Thessaloniki,2021-2022,Fine and Applied Arts,03/05/1984,92,1133,138,753
Aristotle University of Thessaloniki,2021-2022,Introductory Direction of Muslim Studies,19/04/2016,14,253,36,253
Aristotle University of Thessaloniki,2021-2022,Physical Education and Sports Science,01/09/1983,251,2384,249,1099
Aristotle University of Thessaloniki,2021-2022,Physical Education and Sports Science,08/02/1985,96,884,183,495
Aristotle University of Thessaloniki,2021-2022,Preschool Education Sciences,09/07/1983,292,1520,254,994
Aristotle University of Thessaloniki,2021-2022,Electrical and Computer Engineering,01/09/1976,237,2855,301,1778
Aristotle University of Thessaloniki,2021-2022,Theater,03/05/1984,50,930,101,583
Aristotle University of Thessaloniki,2021-2022,Theology,25/10/1982,124,3966,124,802
Aristotle University of Thessaloniki,2021-2022,Medicine,18/02/1942,298,2558,357,1790
Aristotle University of Thessaloniki,2021-2022,History and Archaeology,12/03/2020,236,1932,196,1062
Aristotle University of Thessaloniki,2021-2022,Italian Language and Literature,01/09/1960,36,946,44,366
Aristotle University of Thessaloniki,2021-2022,Cinema,22/07/2004,64,937,112,623
Aristotle University of Thessaloniki,2021-2022,Social Theology and Christian Culture,06/10/1994,108,1970,68,719
Aristotle University of Thessaloniki,2021-2022,Veterinary Medicine,17/10/1950,110,1056,175,710
Aristotle University of Thessaloniki,2021-2022,Mathematics,18/10/1928,147,2879,150,1138
Aristotle University of Thessaloniki,2021-2022,Spatial Planning and Development Engineering,22/07/2004,87,776,96,608
Aristotle University of Thessaloniki,2021-2022,Mechanical Engineering,10/09/1976,153,1782,177,999
Aristotle University of Thessaloniki,2021-2022,Music Studies,03/05/1984,41,767,57,456
Aristotle University of Thessaloniki,2021-2022,Law,07/08/1930,471,5000,632,2240
Aristotle University of Thessaloniki,2021-2022,Dentistry,07/09/1959,98,728,123,577
Aristotle University of Thessaloniki,2021-2022,Economic Sciences,19/11/1927,315,4907,544,2124
Aristotle University of Thessaloniki,2021-2022,Primary Education Pedagogy,16/07/1982,293,1809,341,1234
Aristotle University of Thessaloniki,2021-2022,Informatics,30/05/1991,144,1717,220,1145
Aristotle University of Thessaloniki,2021-2022,Political Sciences,06/09/1999,143,1288,191,840
Aristotle University of Thessaloniki,2021-2022,Civil Engineering,08/10/1955,145,2242,216,1267
Aristotle University of Thessaloniki,2021-2022,Pharmacy,22/03/1993,163,974,143,716
Aristotle University of Thessaloniki,2021-2022,Philology,01/09/1984,234,2009,227,1197
Aristotle University of Thessaloniki,2021-2022,Philosophy and Pedagogy,27/04/1993,157,1235,144,850
Aristotle University of Thessaloniki,2021-2022,Physics,27/08/1982,174,2598,209,1061
Aristotle University of Thessaloniki,2021-2022,Chemistry,03/07/2009,165,1589,241,873
Aristotle University of Thessaloniki,2021-2022,Chemical Engineering,28/06/1972,109,1244,155,765
Aristotle University of Thessaloniki,2021-2022,Psychology,27/04/1993,258,1544,329,1124
School of Pedagogical and Technological Education (ASPETE),2021-2022,Educational Electrical Engineering,05/06/2013,35,945,61,716
School of Pedagogical and Technological Education (ASPETE),2021-2022,Educational Electronic Engineering,05/06/2013,35,942,51,685
School of Pedagogical and Technological Education (ASPETE),2021-2022,Educational Mechanical Engineering,05/06/2013,54,924,48,687
School of Pedagogical and Technological Education (ASPETE),2021-2022,Educational Civil Engineering,01/09/2013,54,790,23,583
Agricultural University of Athens,2021-2022,Agricultural Economy and Development,28/03/1985,107,1324,60,732
Agricultural University of Athens,2021-2022,Natural Resources Utilization and Agricultural Engineering,16/06/1989,106,1253,46,672
Agricultural University of Athens,2021-2022,Biotechnology,16/06/1989,101,974,147,747
Agricultural University of Athens,2021-2022,Forestry and Natural Environment Management,29/01/2019,3,284,37,284
Agricultural University of Athens,2021-2022,Agricultural Business Management and Supply Systems,29/01/2019,0,476,103,476
Agricultural University of Athens,2021-2022,Animal Production Science,16/06/1989,62,1205,74,792
Agricultural University of Athens,2021-2022,Food Science and Human Nutrition,16/06/1989,95,981,131,718
Agricultural University of Athens,2021-2022,Plant Production Science,28/03/1985,179,2198,222,1236
Agricultural University of Athens,2021-2022,Regional and Economic Development,29/01/2019,0,293,12,293
Agricultural University of Athens,2021-2022,Forestry and Natural Environment Management,22/08/1994,23,588,0,240
Agricultural University of Athens,2021-2022,Supply Systems Management,23/06/2005,182,1769,0,650
Agricultural University of Athens,2021-2022,"Management, Economy and Communication of Cultural and Tourist Units",05/06/2013,53,1973,0,392
Democritus University of Thrace,2021-2022,Agricultural Development,06/09/1999,130,1033,55,695
Democritus University of Thrace,2021-2022,Architectural Engineering,06/09/1999,73,695,40,578
Democritus University of Thrace,2021-2022,"Language, Philology and Culture of Black Sea Countries",10/03/2000,68,790,73,245
Democritus University of Thrace,2021-2022,Forestry and Environment and Natural Resources Management,06/09/1999,61,871,22,560
Democritus University of Thrace,2021-2022,Greek Philology,13/09/1993,193,967,201,647
Democritus University of Thrace,2021-2022,Physical Education and Sports Science,30/11/1983,380,2013,393,1309
Democritus University of Thrace,2021-2022,Preschool Education Sciences,16/07/1982,272,984,194,697
Democritus University of Thrace,2021-2022,Electrical and Computer Engineering,08/10/1975,157,1582,191,1016
Democritus University of Thrace,2021-2022,Medicine,22/07/1977,131,816,219,620
Democritus University of Thrace,2021-2022,History and Ethnology,10/04/1990,123,1127,106,642
Democritus University of Thrace,2021-2022,Social Work,07/05/2019,205,2596,301,1885
Democritus University of Thrace,2021-2022,Social Policy,07/05/2019,66,858,248,535
Democritus University of Thrace,2021-2022,Production and Management Engineering,10/03/2000,109,1002,154,789
Democritus University of Thrace,2021-2022,Environmental Engineering,13/09/1993,77,807,58,638
Democritus University of Thrace,2021-2022,Molecular Biology and Genetics,06/09/1999,149,814,158,627
Democritus University of Thrace,2021-2022,Law,25/05/1974,532,3863,868,1829
Democritus University of Thrace,2021-2022,Economic Sciences,06/09/1999,254,1203,342,1162
Democritus University of Thrace,2021-2022,Primary Education Pedagogy,16/07/1982,394,1472,293,1092
Democritus University of Thrace,2021-2022,Political Science,01/09/2019,120,824,226,651
Democritus University of Thrace,2021-2022,Civil Engineering,25/05/1974,99,1288,127,705
International Hellenic University,2021-2022,Agricultural Biotechnology and Oenology,07/05/2019,0,381,44,381
International Hellenic University,2021-2022,Early Childhood Care and Education,07/05/2019,81,392,397,392
International Hellenic University,2021-2022,"Library Science, Archival Science and Information Systems",07/05/2019,35,396,155,349
International Hellenic University,2021-2022,Biomedical Sciences,07/05/2019,39,1199,257,886
International Hellenic University,2021-2022,Agriculture,07/05/2019,28,870,219,870
International Hellenic University,2021-2022,Forestry and Natural Environment,07/05/2019,7,362,44,362
International Hellenic University,2021-2022,Creative Design and Clothing,07/05/2019,18,342,78,342
International Hellenic University,2021-2022,Supply Chain Management,07/05/2019,17,541,197,512
International Hellenic University,2021-2022,"Organization Management, Marketing and Tourism",07/05/2019,183,330,348,330
International Hellenic University,2021-2022,Management Science and Technology,07/05/2019,0,641,132,641
International Hellenic University,2021-2022,Food Science and Technology,07/05/2019,7,468,190,468
International Hellenic University,2021-2022,Nutrition and Dietetics Sciences,07/05/2019,0,446,148,446
International Hellenic University,2021-2022,Interior Architecture,07/05/2019,0,126,84,126
International Hellenic University,2021-2022,Accounting and Information Systems,07/05/2019,66,805,173,642
International Hellenic University,2021-2022,Accounting and Finance,07/05/2019,0,627,167,627
International Hellenic University,2021-2022,Midwifery,07/05/2019,0,376,131,376
International Hellenic University,2021-2022,Production and Management Engineering,07/05/2019,20,497,110,495
International Hellenic University,2021-2022,Environmental Engineering,07/05/2019,0,257,60,257
International Hellenic University,2021-2022,Informatics and Electronic Systems Engineering,05/07/2019,25,728,233,725
International Hellenic University,2021-2022,"Informatics, Computers and Telecommunications Engineering",07/05/2019,0,241,269,241
International Hellenic University,2021-2022,Surveying and Geoinformatics Engineering,07/05/2019,0,181,17,181
International Hellenic University,2021-2022,Mechanical Engineering,07/05/2019,7,311,84,310
International Hellenic University,2021-2022,Nursing,07/05/2019,11,125,40,124
International Hellenic University,2021-2022,Nursing,07/05/2019,93,470,261,469
International Hellenic University,2021-2022,Economic Sciences,07/05/2019,0,740,334,736
International Hellenic University,2021-2022,Business Administration,07/05/2019,69,838,396,838
International Hellenic University,2021-2022,Informatics,07/05/2019,0,562,186,562
International Hellenic University,2021-2022,Civil Engineering,07/05/2019,0,174,53,174
International Hellenic University,2021-2022,Physics,07/05/2019,0,258,28,258
International Hellenic University,2021-2022,Physiotherapy,07/05/2019,114,197,563,197
International Hellenic University,2021-2022,Chemistry,07/05/2019,0,340,111,340
International Hellenic University,2021-2022,Aesthetics and Cosmetology,12/10/1984,79,593,0,324
International Hellenic University,2021-2022,Landscape Architecture,17/09/2003,9,258,0,132
International Hellenic University,2021-2022,Library Science and Information Systems,27/03/1984,10,534,0,177
International Hellenic University,2021-2022,Forestry and Natural Environment Management,23/06/2005,38,820,0,318
International Hellenic University,2021-2022,Nutrition and Dietetics,27/11/1985,84,783,0,352
International Hellenic University,2021-2022,Business Administration,03/06/2013,97,1163,0,529
International Hellenic University,2021-2022,Business Administration,27/11/1985,79,2201,2201,669
International Hellenic University,2021-2022,Business Administration,24/11/1983,135,2478,0,297
International Hellenic University,2021-2022,Supply Systems Management,17/09/2003,60,1203,0,439
International Hellenic University,2021-2022,Tourism Business and Hospitality Management,03/06/2013,50,818,0,447
International Hellenic University,2021-2022,"Interior Architecture, Decoration and Object Design",12/03/2009,5,210,0,127
International Hellenic University,2021-2022,Electrical Engineering,24/11/1983,60,1472,0,451
International Hellenic University,2021-2022,Electronic Engineering,24/11/1983,44,1239,0,481
International Hellenic University,2021-2022,Medical Laboratories,12/11/1984,37,600,0,251
International Hellenic University,2021-2022,Accounting and Finance,03/06/2013,69,1553,0,512
International Hellenic University,2021-2022,Accounting and Finance,24/11/1983,122,1932,0,631
International Hellenic University,2021-2022,Accounting and Finance,05/06/2013,200,2426,0,577
International Hellenic University,2021-2022,Midwifery,24/11/1983,15,412,0,248
International Hellenic University,2021-2022,Automation Engineering,09/03/1988,51,967,0,369
International Hellenic University,2021-2022,Informatics Engineering,09/03/1988,60,1403,0,658
International Hellenic University,2021-2022,Informatics Engineering,05/06/2013,43,1343,0,428
International Hellenic University,2021-2022,Informatics Engineering,06/09/1999,84,1507,0,356
International Hellenic University,2021-2022,Oil and Natural Gas Technology Engineering,14/10/1976,86,1471,0,485
International Hellenic University,2021-2022,Surveying and Geoinformatics Engineering,06/09/1999,58,1270,0,242
International Hellenic University,2021-2022,Mechanical Engineering,14/10/1976,82,1143,0,410
International Hellenic University,2021-2022,Mechanical Engineering,05/06/2013,84,1130,0,307
International Hellenic University,2021-2022,Vehicle Mechanical Engineering,09/03/1988,69,851,0,300
International Hellenic University,2021-2022,Nursing,28/09/1970,43,495,0,266
International Hellenic University,2021-2022,Nursing,10/05/2007,42,308,0,210
International Hellenic University,2021-2022,Oenology and Beverage Technology,12/03/2009,51,468,0,254
International Hellenic University,2021-2022,Civil Engineering,03/06/2013,84,664,0,316
International Hellenic University,2021-2022,Civil Engineering,05/06/2013,38,1269,0,235
International Hellenic University,2021-2022,Preschool Education,27/11/1985,15,253,0,178
International Hellenic University,2021-2022,Clothing Design and Technology,06/09/1999,71,946,0,287
International Hellenic University,2021-2022,Food Technology,24/11/1983,29,1017,0,414
International Hellenic University,2021-2022,Agricultural Technologists,06/03/2013,173,2216,0,831
International Hellenic University,2021-2022,Physiotherapy,24/11/1983,79,307,2,252
National and Kapodistrian University of Athens,2021-2022,Unknown,19/07/2019,0,38,32,38
National and Kapodistrian University of Athens,2021-2022,English Language and Literature,23/06/1951,214,4735,255,1186
National and Kapodistrian University of Athens,2021-2022,"Agricultural Development, Agrifood and Natural Resources Management",29/01/2019,0,206,85,206
National and Kapodistrian University of Athens,2021-2022,Aerospace Science and Technology,29/01/2019,0,217,47,217
National and Kapodistrian University of Athens,2021-2022,Biology,03/07/1970,149,1681,993,681
National and Kapodistrian University of Athens,2021-2022,French Language and Literature,16/07/1982,86,2913,78,545
National and Kapodistrian University of Athens,2021-2022,German Language and Literature,15/02/1977,108,1551,77,661
National and Kapodistrian University of Athens,2021-2022,Geology and Geoenvironment,03/07/1970,64,1938,81,693
National and Kapodistrian University of Athens,2021-2022,Port and Shipping Management,29/01/2019,0,588,228,588
National and Kapodistrian University of Athens,2021-2022,Business Administration,29/01/2019,0,135,128,135
National and Kapodistrian University of Athens,2021-2022,Preschool Education and Training,16/07/1983,236,1619,224,1004
National and Kapodistrian University of Athens,2021-2022,Communication and Mass Media,06/10/1989,156,1288,169,707
National and Kapodistrian University of Athens,2021-2022,Physical Education and Sports Science,12/04/1983,264,4806,299,1670
National and Kapodistrian University of Athens,2021-2022,Theater Studies,06/10/1989,72,1542,157,770
National and Kapodistrian University of Athens,2021-2022,Theology,16/07/1982,191,4265,169,1131
National and Kapodistrian University of Athens,2021-2022,Medicine,24/04/1837,369,3020,336,1930
National and Kapodistrian University of Athens,2021-2022,Spanish Language and Literature,01/10/2009,53,1257,208,648
National and Kapodistrian University of Athens,2021-2022,History and Archaeology,24/04/1986,243,3961,267,1494
National and Kapodistrian University of Athens,2021-2022,History and Philosophy of Science,05/03/1993,77,1469,144,586
National and Kapodistrian University of Athens,2021-2022,Italian Language and Literature,01/10/2009,46,878,50,449
National and Kapodistrian University of Athens,2021-2022,Social Theology and Religious Studies,18/05/1977,151,3159,176,1246
National and Kapodistrian University of Athens,2021-2022,Sociology,29/01/2019,0,476,110,476
National and Kapodistrian University of Athens,2021-2022,Mathematics,04/06/1904,323,6069,273,1619
National and Kapodistrian University of Athens,2021-2022,Music Studies,06/10/1989,37,1023,98,585
National and Kapodistrian University of Athens,2021-2022,Law,24/04/1837,662,7003,742,3449
National and Kapodistrian University of Athens,2021-2022,Nursing,22/08/1983,138,1233,202,777
National and Kapodistrian University of Athens,2021-2022,Dentistry,22/09/1916,150,1008,144,700
National and Kapodistrian University of Athens,2021-2022,Economic Sciences,27/08/1982,349,8005,1960,2044
National and Kapodistrian University of Athens,2021-2022,Primary Education Pedagogy,07/09/1983,326,2514,353,1494
National and Kapodistrian University of Athens,2021-2022,Secondary Education Pedagogy Department,29/01/2019,40,520,475,520
National and Kapodistrian University of Athens,2021-2022,Informatics and Telecommunications,16/06/1989,169,2670,258,1255
National and Kapodistrian University of Athens,2021-2022,Political Science and Public Administration,11/06/1981,265,3991,276,1122
National and Kapodistrian University of Athens,2021-2022,Russian Language and Literature and Slavic Studies,31/07/2007,78,573,87,490
National and Kapodistrian University of Athens,2021-2022,Digital Industry Technologies,29/01/2019,0,602,238,602
National and Kapodistrian University of Athens,2021-2022,Turkish Studies and Modern Asian Studies,02/03/2004,59,1641,90,764
National and Kapodistrian University of Athens,2021-2022,Pharmacy,12/08/1838,136,1775,185,832
National and Kapodistrian University of Athens,2021-2022,Philology,18/10/1984,293,3089,400,1557
National and Kapodistrian University of Athens,2021-2022,Philosophy,29/01/2019,23,713,208,713
National and Kapodistrian University of Athens,2021-2022,"Philosophy, Pedagogy and Psychology",01/09/2019,128,112,0,82
National and Kapodistrian University of Athens,2021-2022,Physics,23/03/1932,237,3871,227,1337
National and Kapodistrian University of Athens,2021-2022,Chemistry,27/04/1918,154,1806,170,688
National and Kapodistrian University of Athens,2021-2022,Digital Arts and Cinema,29/01/2019,0,281,105,281
National and Kapodistrian University of Athens,2021-2022,Psychology,03/06/2013,772,2084,304,1616
National and Kapodistrian University of Athens,2021-2022,Electrical Engineering,01/09/2019,127,2864,0,608
National and Kapodistrian University of Athens,2021-2022,Accounting and Finance,01/09/2019,168,2133,0,754
National and Kapodistrian University of Athens,2021-2022,Automation Engineering,01/09/2019,56,1659,0,468
National and Kapodistrian University of Athens,2021-2022,Aircraft Technology Engineering,01/09/2019,71,1240,0,396
National and Kapodistrian University of Athens,2021-2022,Mechanical Engineering,01/09/2019,89,742,0,378
National Technical University of Athens,2021-2022,Agricultural and Surveying Engineering - Geoinformatics Engineering,30/10/1917,93,1426,91,768
National Technical University of Athens,2021-2022,Architectural Engineering,30/10/1917,157,1764,177,1205
National Technical University of Athens,2021-2022,Applied Mathematics and Physical Sciences,01/09/1999,90,1851,151,1082
National Technical University of Athens,2021-2022,Electrical and Computer Engineering,30/10/1917,320,4822,430,2641
National Technical University of Athens,2021-2022,Mining - Metallurgical Engineering,13/08/1975,90,952,99,555
National Technical University of Athens,2021-2022,Mechanical Engineering,30/10/1917,168,3839,222,1393
National Technical University of Athens,2021-2022,Naval Architects and Mechanical Engineering,27/08/1982,156,1394,134,792
National Technical University of Athens,2021-2022,Civil Engineering,20/06/1887,158,2514,199,1344
National Technical University of Athens,2021-2022,Chemical Engineering,30/10/1917,160,1730,192,979
Hellenic Open University,2021-2022,Unknown,30/01/2018,91,2112,637,2112
Hellenic Open University,2021-2022,Unknown,21/03/2018,11,808,251,808
Hellenic Open University,2021-2022,Unknown,11/12/1998,837,4647,901,3905
Hellenic Open University,2021-2022,Unknown,11/12/1998,32,263,72,201
Hellenic Open University,2021-2022,Unknown,11/12/1998,185,2083,576,1492
Hellenic Open University,2021-2022,Unknown,11/12/1998,29,425,97,238
Hellenic Open University,2021-2022,Unknown,11/12/1998,505,2376,374,1761
Hellenic Open University,2021-2022,Unknown,11/12/1998,310,1750,263,1117
Hellenic Mediterranean University,2021-2022,Agriculture,07/05/2019,0,479,126,478
Hellenic Mediterranean University,2021-2022,Business and Tourism Management,07/05/2019,5,756,203,756
Hellenic Mediterranean University,2021-2022,Management Science and Technology,07/05/2019,26,405,49,405
Hellenic Mediterranean University,2021-2022,Nutrition and Dietetics Sciences,07/05/2019,1,279,148,279
Hellenic Mediterranean University,2021-2022,Electrical and Computer Engineering,07/05/2019,0,395,131,395
Hellenic Mediterranean University,2021-2022,Electronic Engineering,07/05/2019,0,449,178,449
Hellenic Mediterranean University,2021-2022,Social Work,07/05/2019,0,412,198,412
Hellenic Mediterranean University,2021-2022,Accounting and Finance,07/05/2019,0,622,188,622
Hellenic Mediterranean University,2021-2022,Mechanical Engineering,01/07/2019,0,240,83,240
Hellenic Mediterranean University,2021-2022,Music Technology and Acoustics,06/09/1999,0,297,58,297
Hellenic Mediterranean University,2021-2022,Nursing,07/05/2019,0,433,184,433
Hellenic Mediterranean University,2021-2022,Nutrition and Dietetics,06/09/1999,96,732,0,230
Hellenic Mediterranean University,2021-2022,Business Administration,05/06/2013,153,778,0,471
Hellenic Mediterranean University,2021-2022,Business Administration,05/06/2013,67,1102,0,322
Hellenic Mediterranean University,2021-2022,Tourism Business and Hospitality Management,05/06/2013,46,1039,0,400
Hellenic Mediterranean University,2021-2022,Electrical Engineering,07/05/2019,46,730,0,221
Hellenic Mediterranean University,2021-2022,Electronic Engineering,24/11/1983,37,599,0,333
Hellenic Mediterranean University,2021-2022,Social Work,05/06/2013,151,635,0,266
Hellenic Mediterranean University,2021-2022,Accounting and Finance,05/06/2013,166,2982,0,560
Hellenic Mediterranean University,2021-2022,Music Technology and Acoustics Engineering,06/09/1999,34,1289,1,298
Hellenic Mediterranean University,2021-2022,Informatics Engineering,05/06/2013,76,1583,0,485
Hellenic Mediterranean University,2021-2022,Natural Resources and Environment Engineering,06/09/1999,47,605,0,250
Hellenic Mediterranean University,2021-2022,Mechanical Engineering,05/06/2013,53,1278,0,351
Hellenic Mediterranean University,2021-2022,Nursing,24/11/1983,110,440,0,272
Hellenic Mediterranean University,2021-2022,Agricultural Technologists,05/06/2013,46,1350,0,443
Ionian University,2021-2022,"Archival Science, Library Science and Museology",20/03/1984,54,842,36,383
Ionian University,2021-2022,Food Science and Technology,01/10/2018,0,304,31,304
Ionian University,2021-2022,History,20/03/1984,88,1526,40,1018
Ionian University,2021-2022,Music Studies,01/09/1992,55,871,120,714
Ionian University,2021-2022,"Foreign Languages, Translation and Interpretation",20/03/1984,98,675,55,462
Ionian University,2021-2022,Environment,01/10/2018,0,256,36,256
Ionian University,2021-2022,Informatics,22/07/2004,69,1076,197,738
Ionian University,2021-2022,Sound and Image Arts,22/07/2004,54,997,997,647
Ionian University,2021-2022,Tourism,01/10/2018,0,554,103,554
Ionian University,2021-2022,Digital Media and Communication,01/10/2018,24,664,270,664
Ionian University,2021-2022,Business Administration,05/06/2013,39,662,0,283
Ionian University,2021-2022,Tourism Business and Hospitality Management,05/06/2013,29,464,0,349
Ionian University,2021-2022,Conservation of Antiquities and Works of Art,05/06/2013,6,336,0,23
Ionian University,2021-2022,Sound Technology and Musical Instruments,20/06/2003,52,583,0,309
Ionian University,2021-2022,Food Technology,05/06/2013,27,581,0,255
Ionian University,2021-2022,Natural Environment Technologies,05/06/2013,4,575,0,176
Ionian University,2021-2022,Digital Media and Communication,05/05/2014,23,1196,0,420
Athens University of Economics and Business,2021-2022,International and European Economic Studies,01/09/1989,107,1537,155,832
Athens University of Economics and Business,2021-2022,Management Science and Technology,01/09/2000,163,1406,194,983
Athens University of Economics and Business,2021-2022,Accounting and Finance,06/09/1999,174,1839,252,1218
Athens University of Economics and Business,2021-2022,Marketing and Communication,01/09/1989,125,1673,223,1121
Athens University of Economics and Business,2021-2022,Economic Science,01/09/1984,247,5743,269,1573
Athens University of Economics and Business,2021-2022,Business Administration,01/09/1984,302,6555,345,1885
Athens University of Economics and Business,2021-2022,Informatics,01/09/1984,188,2878,254,1432
Athens University of Economics and Business,2021-2022,Statistics,01/09/1989,79,1054,133,574
University of the Aegean,2021-2022,Geography,16/06/1989,52,1166,95,547
University of the Aegean,2021-2022,Business Administration,20/03/1984,201,1201,128,889
University of the Aegean,2021-2022,Food Science and Nutrition,21/02/2007,109,661,41,423
University of the Aegean,2021-2022,Preschool Education Sciences and Educational Design,20/03/1984,85,956,326,665
University of the Aegean,2021-2022,Social Anthropology and History,20/03/1984,60,945,100,551
University of the Aegean,2021-2022,Sociology,16/06/1989,100,1041,238,722
University of the Aegean,2021-2022,Mathematics,20/03/1984,97,987,12,434
University of the Aegean,2021-2022,"Mediterranean Studies: Archaeology, Linguistics, International Relations",04/11/1997,181,1206,54,590
University of the Aegean,2021-2022,Economics and Management Engineering,10/03/2000,55,1108,122,723
University of the Aegean,2021-2022,Information and Communication Systems Engineering,04/11/1997,38,1277,68,803
University of the Aegean,2021-2022,Product and Systems Design Engineering,10/03/2000,117,1104,66,797
University of the Aegean,2021-2022,Shipping and Business Services,04/11/1997,135,931,152,737
University of the Aegean,2021-2022,Tourism Economics and Management,15/02/2017,25,283,92,283
University of the Aegean,2021-2022,Primary Education Pedagogy,20/03/1984,162,1131,488,776
University of the Aegean,2021-2022,Environment,20/03/1984,50,734,24,288
University of the Aegean,2021-2022,Cultural Technology and Communication,10/03/2000,71,1115,157,626
University of the Aegean,2021-2022,Statistics and Actuarial - Financial Mathematics,01/09/2018,103,913,114,561
University of the Aegean,2021-2022,Oceanography and Marine Biosciences,04/11/1997,61,929,50,415
University of West Attica,2021-2022,Early Childhood Care and Education,02/03/2018,199,721,176,661
University of West Attica,2021-2022,"Archival Science, Library Science and Information Systems",02/03/2018,45,848,126,683
University of West Attica,2021-2022,Biomedical Sciences,02/03/2018,459,2224,405,1873
University of West Attica,2021-2022,Graphic Design and Visual Communication,02/03/2018,92,1255,104,1004
University of West Attica,2021-2022,Public and Community Health,02/03/2018,159,1055,170,888
University of West Attica,2021-2022,Business Administration,01/09/2018,313,3201,446,2608
University of West Attica,2021-2022,Tourism Management,02/03/2018,256,2339,404,1971
University of West Attica,2021-2022,Food Science and Technology,02/03/2018,128,968,112,748
University of West Attica,2021-2022,"Wine, Vine and Beverage Sciences",02/03/2018,57,886,54,626
University of West Attica,2021-2022,Occupational Therapy,20/03/2018,124,611,164,572
University of West Attica,2021-2022,Interior Architecture,02/03/2018,36,904,160,741
University of West Attica,2021-2022,Electrical and Electronic Engineering,13/06/2019,52,2767,231,2487
University of West Attica,2021-2022,Social Work,02/03/2018,121,802,195,736
University of West Attica,2021-2022,Accounting and Finance,02/03/2018,286,1731,267,1403
University of West Attica,2021-2022,Midwifery,01/09/2018,166,821,159,722
University of West Attica,2021-2022,Biomedical Engineering,02/03/2018,42,799,115,740
University of West Attica,2021-2022,Industrial Design and Production Engineering,23/07/2019,61,2105,297,1973
University of West Attica,2021-2022,Informatics and Computer Engineering,24/11/1983,45,2332,315,2185
University of West Attica,2021-2022,Surveying and Geoinformatics Engineering,02/03/2018,20,700,106,649
